strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
greedy,100,1,100,30000,False,1,,,,,greedy_0d2f1f52-87ba-4719-ba41-a020f59d53c5.json,0d2f1f52-87ba-4719-ba41-a020f59d53c5
greedy,100,1,100,30000,False,1,,,,,greedy_8a31a369-0cc1-4715-835f-ec648b9d6698.json,8a31a369-0cc1-4715-835f-ec648b9d6698
uniform,20,5,80,150000,False,4,,,,,uniform_d2eb696d-19a6-4a60-a045-56a349fc620d.json,d2eb696d-19a6-4a60-a045-56a349fc620d
uniform,20,5,80,150000,False,4,,,,,uniform_5ac1879a-c9f5-4037-8965-566c7188973d.json,5ac1879a-c9f5-4037-8965-566c7188973d
greedy,100,1,100,30000,False,1,,,,,greedy_55720dcc-2a77-48ec-82dd-727c8a6ff518.json,55720dcc-2a77-48ec-82dd-727c8a6ff518
uniform,20,5,80,150000,False,4,,,,,uniform_acff0cb0-68e7-45f0-8f29-0cf0d43ae1c0.json,acff0cb0-68e7-45f0-8f29-0cf0d43ae1c0
optimized,100,1,200,30000,False,1,,,,,optimized_77645145-5445-4d91-a070-ec124b98243b.json,77645145-5445-4d91-a070-ec124b98243b
uniform,20,5,0,150000,False,4,1e+16,5e+17,1000.0,1000000.0,uniform_bd5f433e-4583-4923-8313-287bbeac32d0.json,bd5f433e-4583-4923-8313-287bbeac32d0
uniform,20,5,80,150000,False,4,0.5,0.255,177.0,1000.0,uniform_971e666e-bcbd-46db-87e4-af593b9127eb.json,971e666e-bcbd-46db-87e4-af593b9127eb
greedy,100,1,100,30000,False,1,,,,,greedy_78e71f1e-ad73-4491-bb6e-3eb0139fc0e4.json,78e71f1e-ad73-4491-bb6e-3eb0139fc0e4
uniform,20,5,80,150000,False,4,,,,,uniform_10c3a96f-ffda-49b4-a36c-5c59d4c990eb.json,10c3a96f-ffda-49b4-a36c-5c59d4c990eb
greedy,100,1,100,30000,False,1,,,,,greedy_f5aa3a1a-8449-41b4-9af2-fa1b753527c6.json,f5aa3a1a-8449-41b4-9af2-fa1b753527c6
optimized,100,1,200,30000,False,37,3.775e+17,1.325e+17,177.0,100000.0,optimized_e04ba325-3060-47a1-8b3d-0fab5c2f9749.json,e04ba325-3060-47a1-8b3d-0fab5c2f9749
